Product_ID,Competitor_Price,Demand,Inventory,Customer_Rating,Season,Optimized_Price
1,450,120,50,4.5,1,520
2,800,80,30,4.2,0,760
3,300,200,100,4.8,1,390
4,1000,60,20,3.9,0,900
5,650,150,40,4.6,1,720
6,250,300,150,4.9,1,350
7,1200,40,15,3.8,0,1050
8,550,170,60,4.3,1,640
9,700,90,35,4.0,0,680
10,400,220,120,4.7,1,500
11,1500,30,10,3.5,0,1300
12,350,250,130,4.8,1,430
13,900,70,25,4.1,0,850
14,600,140,45,4.4,1,690
15,200,350,200,5.0,1,300
16,1100,55,18,3.7,0,980
17,750,100,40,4.2,0,740
18,500,180,80,4.6,1,610
19,1300,35,12,3.6,0,1150
20,280,270,160,4.9,1,370
