iter	RMSE
0	178.5758825
1	175.5616144
2	172.8733307
3	170.4288464
4	168.159481
5	166.0810157
6	164.3397115
7	162.6404354
8	161.180833
9	159.9121656
10	158.5900609
11	157.640393
12	156.5729618
13	155.7227236
14	154.8421144
15	154.1629806
16	153.4725784
17	152.782621
18	152.1656988
19	151.6008634
20	151.1381755
21	150.7035059
22	150.3264972
23	149.854676
24	149.5178956
25	149.0314995
26	148.5043276
27	148.1075139
28	147.7333821
29	147.1165317
30	146.7515603
31	146.4617797
32	146.2638061
33	145.9635839
34	145.6340193
35	145.2660182
36	144.9964241
37	144.5606925
38	144.2410805
39	144.0467244
40	143.8822699
41	143.5676478
42	143.3749221
43	143.1512544
44	142.8752809
45	142.649082
46	142.2703757
47	141.9892065
48	141.7882775
49	141.6304036
50	141.3824517
51	141.1650053
52	141.0382427
53	140.8300265
54	140.5316108
55	140.3893392
56	140.1901295
57	139.9507191
58	139.8040302
59	139.4929245
60	139.3505828
61	139.2181301
62	139.1010875
63	139.0047019
64	138.7185969
65	138.5787364
66	138.4068034
67	138.2516581
68	138.1420585
69	137.9791736
70	137.8633278
71	137.7701305
72	137.6931061
73	137.5976923
74	137.5374136
75	137.3991263
76	137.2902319
77	137.1834312
78	137.0467264
79	136.914988
80	136.7968656
81	136.6862352
82	136.5703936
83	136.4756973
84	136.2196541
85	136.0948247
86	135.9098197
87	135.7851197
88	135.6339478
89	135.5337741
90	135.4221007
91	135.2433336
92	135.0867629
93	134.9260363
94	134.785827
95	134.6413903
96	134.4347651
97	134.3029811
98	134.0664904
99	133.9041163
100	133.7478743
101	133.6786246
102	133.4567062
103	133.366221
104	133.1725
105	133.0691736
106	132.954801
107	132.839844
108	132.7804149
109	132.5885696
110	132.4780704
111	132.3433413
112	132.2695165
113	132.1968992
114	131.9855594
115	131.852482
116	131.7756123
117	131.653838
118	131.4406917
119	131.345039
120	131.2437706
121	131.1427048
122	131.0107147
123	130.9472117
124	130.8219161
125	130.6809587
126	130.6555077
127	130.5651299
128	130.4220136
129	130.2913819
130	130.2006012
131	130.1075205
132	130.0342354
133	129.9055921
134	129.80992
135	129.6448337
136	129.4546713
137	129.3819988
138	129.3019318
139	129.1994051
140	129.1366273
141	129.0481753
142	128.9682663
143	128.8141661
144	128.732259
145	128.6333012
146	128.445437
147	128.3662542
148	128.2786467
149	128.1601607
150	128.0974632
151	127.9796961
152	127.8457018
153	127.7367264
154	127.5582016
155	127.4504308
156	127.366327
157	127.2703348
158	127.1432992
159	127.0586646
160	126.9716486
161	126.8859139
162	126.7845689
163	126.6031068
164	126.5139435
165	126.4604618
166	126.3364569
167	126.2027805
168	126.1239375
169	126.0824146
170	126.0306568
171	125.9016811
172	125.7710213
173	125.6701769
174	125.6198358
175	125.542739
176	125.4581601
177	125.3968111
178	125.3082459
179	125.2425071
180	125.1593498
181	125.0608473
182	124.9977555
183	124.8387523
184	124.7640211
185	124.6967795
186	124.5606789
187	124.4571491
188	124.2336697
189	124.1312145
190	124.0755846
191	123.9669842
192	123.9101581
193	123.8781603
194	123.8135576
195	123.7437478
196	123.6607841
197	123.6040932
198	123.5117839
199	123.4270168
200	123.3645974
201	123.246572
202	123.1998591
203	123.1385405
204	123.0465422
205	122.9982158
206	122.9506994
207	122.9097218
208	122.8048552
209	122.7602846
210	122.7119214
211	122.5754078
212	122.5104505
213	122.4728793
214	122.4046696
215	122.3548088
216	122.224607
217	122.1561668
218	122.0313195
219	121.9847457
220	121.9306683
221	121.8085339
222	121.7418334
223	121.6633413
224	121.6247985
225	121.5383613
226	121.4462104
227	121.3242573
228	121.2642
229	121.1643668
230	121.0378075
231	120.9594169
232	120.9227715
233	120.8336928
234	120.7877576
235	120.7430607
236	120.6975442
237	120.6720852
238	120.6173181
239	120.547002
240	120.4858434
241	120.4278249
242	120.358086
243	120.3104785
244	120.2616493
245	120.2083779
246	120.1755285
247	120.1021313
248	120.0332691
249	119.9823181
250	119.8929787
251	119.8465382
252	119.8026274
253	119.7040464
254	119.6720524
255	119.6205096
256	119.5649181
257	119.4748941
258	119.4479422
259	119.3857515
260	119.344866
261	119.2922073
262	119.2298505
263	119.1782297
264	119.1162016
265	119.0611537
266	119.0130271
267	118.9600039
