iter	Passed	Remaining
0	150	150176
1	161	80671
2	172	57426
3	183	45763
4	193	38597
5	204	33806
6	213	30279
7	223	27663
8	231	25533
9	241	23869
10	249	22419
11	256	21141
12	263	20001
13	269	18959
14	274	18053
15	279	17206
16	284	16454
17	289	15786
18	293	15169
19	298	14619
20	303	14126
21	307	13672
22	312	13258
23	316	12873
24	321	12545
25	326	12218
26	330	11920
27	335	11650
28	340	11384
29	344	11148
30	349	10922
31	354	10709
32	358	10505
33	363	10323
34	368	10154
35	372	9973
36	376	9809
37	381	9664
38	386	9514
39	390	9369
40	395	9251
41	400	9134
42	405	9022
43	410	8916
44	415	8817
45	420	8722
46	425	8631
47	430	8543
48	435	8450
49	440	8362
50	444	8279
51	449	8201
52	454	8128
53	459	8051
54	464	7978
55	468	7903
56	473	7836
57	478	7767
58	483	7707
59	488	7654
60	492	7588
61	497	7524
62	501	7461
63	505	7400
64	510	7348
65	515	7296
66	519	7239
67	524	7185
68	528	7129
69	533	7083
70	539	7055
71	544	7017
72	549	6978
73	554	6937
74	559	6895
75	564	6858
76	569	6821
77	573	6781
78	578	6748
79	583	6714
80	589	6682
81	593	6644
82	597	6605
83	602	6570
84	607	6537
85	612	6506
86	616	6471
87	621	6435
88	626	6410
89	630	6377
90	635	6347
91	640	6318
92	644	6287
93	649	6261
94	654	6230
95	658	6203
96	663	6177
97	667	6145
98	672	6120
99	677	6093
100	681	6068
101	686	6042
102	691	6019
103	695	5992
104	700	5968
105	705	5948
106	709	5924
107	714	5900
108	719	5880
109	724	5858
110	728	5836
111	733	5817
112	738	5793
113	742	5771
114	747	5755
115	752	5734
116	756	5711
117	761	5691
118	766	5676
119	771	5658
120	776	5638
121	780	5618
122	784	5597
123	789	5579
124	794	5564
125	799	5544
126	803	5522
127	808	5505
128	812	5486
129	816	5467
130	821	5451
131	826	5432
132	830	5413
133	835	5397
134	840	5383
135	845	5370
136	850	5356
137	855	5344
138	861	5333
139	865	5318
140	870	5305
141	876	5293
142	880	5279
143	886	5269
144	890	5253
145	895	5237
146	900	5227
147	905	5213
148	910	5197
149	915	5186
150	920	5173
151	924	5158
152	929	5143
153	933	5130
154	938	5117
155	943	5102
156	947	5089
157	952	5077
158	957	5064
159	962	5053
160	967	5041
161	971	5027
162	977	5018
163	981	5004
164	986	4993
165	991	4980
166	996	4968
167	1000	4955
168	1005	4942
169	1009	4929
170	1013	4915
171	1018	4902
172	1023	4892
173	1028	4880
174	1032	4869
175	1037	4857
176	1041	4844
177	1045	4830
178	1050	4820
179	1055	4809
180	1060	4797
181	1064	4784
182	1069	4772
183	1073	4761
184	1078	4749
185	1082	4737
186	1087	4726
187	1091	4716
188	1096	4706
189	1101	4697
190	1106	4687
191	1111	4676
192	1116	4669
193	1120	4657
194	1125	4646
195	1129	4635
196	1134	4626
197	1139	4615
198	1144	4605
199	1149	4596
200	1153	4586
201	1158	4577
202	1163	4568
203	1167	4555
204	1171	4544
205	1176	4533
206	1181	4525
207	1185	4515
208	1190	4505
209	1195	4496
210	1199	4485
211	1204	4476
212	1209	4467
213	1213	4456
214	1217	4446
215	1222	4437
216	1227	4430
217	1232	4419
218	1236	4410
219	1241	4402
220	1246	4392
221	1250	4383
222	1255	4375
223	1260	4365
224	1264	4356
225	1269	4348
226	1274	4339
227	1279	4332
228	1284	4324
229	1289	4317
230	1295	4311
231	1300	4304
232	1305	4297
233	1310	4291
234	1315	4282
235	1320	4274
236	1325	4266
237	1330	4258
238	1334	4249
239	1339	4240
240	1343	4231
241	1348	4224
242	1353	4216
243	1357	4207
244	1362	4199
245	1367	4191
246	1372	4183
247	1378	4179
248	1383	4171
249	1387	4163
250	1393	4157
251	1397	4149
252	1402	4139
253	1406	4131
254	1411	4122
255	1415	4114
256	1420	4107
257	1425	4099
258	1430	4091
259	1434	4082
260	1439	4076
261	1444	4067
262	1448	4059
263	1453	4052
264	1457	4043
265	1462	4035
266	1467	4027
267	1471	4019
268	1476	4012
269	1480	4003
270	1485	3996
271	1490	3989
272	1494	3980
273	1499	3973
274	1503	3964
275	1508	3956
276	1512	3948
277	1517	3940
278	1521	3933
279	1526	3924
280	1530	3917
281	1535	3909
282	1540	3902
283	1544	3895
284	1549	3888
285	1554	3880
286	1558	3871
287	1563	3866
288	1568	3859
289	1573	3851
290	1577	3844
291	1582	3837
292	1587	3830
293	1591	3822
294	1596	3814
295	1600	3807
296	1605	3800
297	1610	3794
298	1615	3787
299	1620	3781
300	1625	3774
301	1630	3769
302	1636	3763
303	1641	3758
304	1645	3750
305	1650	3743
306	1655	3737
307	1659	3729
308	1664	3721
309	1668	3714
310	1673	3706
311	1677	3698
312	1682	3691
313	1686	3684
314	1691	3678
315	1696	3671
316	1701	3665
317	1706	3658
318	1711	3653
319	1716	3646
320	1721	3641
321	1726	3635
322	1732	3630
323	1737	3624
324	1741	3617
325	1746	3611
326	1751	3605
327	1756	3598
328	1761	3592
329	1766	3586
330	1771	3579
331	1775	3573
332	1780	3567
333	1785	3560
334	1790	3553
335	1794	3546
336	1798	3539
337	1803	3532
338	1808	3525
339	1813	3519
340	1817	3512
341	1822	3505
342	1827	3500
343	1831	3493
344	1836	3487
345	1841	3480
346	1846	3474
347	1850	3467
348	1855	3460
349	1859	3453
350	1864	3446
351	1868	3439
352	1873	3434
353	1878	3427
354	1882	3420
355	1887	3415
356	1892	3408
357	1896	3401
358	1901	3395
359	1906	3389
360	1911	3382
361	1916	3376
362	1920	3370
363	1925	3363
364	1930	3357
365	1935	3351
366	1939	3344
367	1943	3338
368	1949	3333
369	1953	3326
370	1958	3320
371	1963	3314
372	1968	3308
373	1972	3302
374	1977	3295
375	1982	3289
376	1986	3282
377	1991	3276
378	1995	3270
379	2000	3264
380	2004	3257
381	2009	3251
382	2014	3244
383	2018	3238
384	2023	3232
385	2028	3226
386	2032	3219
387	2037	3213
388	2043	3208
389	2047	3202
390	2051	3195
391	2056	3189
392	2061	3183
393	2065	3176
394	2070	3170
395	2075	3164
396	2079	3158
397	2083	3151
398	2088	3145
399	2092	3138
400	2097	3133
401	2102	3127
402	2106	3120
403	2111	3115
404	2115	3108
405	2120	3101
406	2124	3095
407	2129	3089
408	2134	3083
409	2138	3077
410	2143	3071
411	2148	3066
412	2153	3060
413	2158	3055
414	2164	3050
415	2169	3045
416	2174	3040
417	2179	3035
418	2184	3029
419	2189	3023
420	2194	3018
421	2199	3012
422	2204	3006
423	2209	3001
424	2214	2996
425	2219	2990
426	2223	2983
427	2228	2978
428	2233	2973
429	2238	2967
430	2243	2962
431	2248	2956
432	2252	2950
433	2257	2944
434	2262	2938
435	2266	2931
436	2271	2925
437	2275	2919
438	2279	2913
439	2284	2907
440	2290	2902
441	2294	2897
442	2299	2891
443	2304	2886
444	2309	2880
445	2313	2874
446	2318	2868
447	2322	2862
448	2327	2856
449	2331	2850
450	2337	2844
451	2341	2839
452	2346	2833
453	2350	2827
454	2355	2820
455	2359	2814
456	2364	2809
457	2368	2803
458	2373	2797
459	2377	2791
460	2382	2785
461	2387	2780
462	2392	2774
463	2396	2768
464	2401	2762
465	2406	2757
466	2411	2751
467	2415	2746
468	2420	2740
469	2425	2734
470	2430	2729
471	2434	2723
472	2439	2717
473	2443	2711
474	2448	2705
475	2452	2699
476	2457	2694
477	2462	2688
478	2466	2682
479	2472	2678
480	2476	2672
481	2481	2666
482	2486	2661
483	2491	2655
484	2496	2650
485	2500	2644
486	2505	2638
487	2509	2633
488	2514	2627
489	2519	2622
490	2524	2616
491	2528	2610
492	2533	2605
493	2538	2599
494	2542	2594
495	2547	2588
496	2551	2582
497	2556	2576
498	2561	2571
499	2566	2566
500	2571	2560
501	2575	2555
502	2581	2550
503	2586	2545
504	2590	2539
505	2596	2534
506	2601	2529
507	2606	2523
508	2611	2519
509	2616	2514
510	2621	2508
511	2625	2502
512	2630	2497
513	2635	2491
514	2640	2486
515	2645	2481
516	2650	2475
517	2654	2470
518	2658	2464
519	2663	2458
520	2668	2452
521	2672	2447
522	2677	2441
523	2682	2436
524	2686	2430
525	2691	2425
526	2695	2419
527	2700	2413
528	2705	2408
529	2709	2403
530	2714	2397
531	2719	2392
532	2724	2386
533	2728	2380
534	2733	2375
535	2737	2370
536	2742	2364
537	2747	2358
538	2752	2353
539	2757	2348
540	2762	2343
541	2766	2337
542	2771	2332
543	2775	2326
544	2780	2321
545	2785	2315
546	2789	2310
547	2794	2304
548	2799	2299
549	2803	2294
550	2808	2288
551	2813	2283
552	2818	2277
553	2823	2272
554	2827	2267
555	2832	2261
556	2837	2256
557	2841	2250
558	2846	2245
559	2851	2240
560	2856	2235
561	2861	2230
562	2866	2224
563	2871	2220
564	2876	2214
565	2880	2209
566	2886	2204
567	2890	2198
568	2895	2193
569	2900	2187
570	2904	2182
571	2908	2176
572	2912	2170
573	2917	2165
574	2922	2159
575	2926	2154
576	2932	2149
577	2936	2143
578	2941	2138
579	2945	2133
580	2950	2127
581	2954	2122
582	2959	2116
583	2964	2111
584	2968	2106
585	2973	2100
586	2978	2095
587	2982	2089
588	2987	2084
589	2992	2079
590	2996	2073
591	3001	2068
592	3005	2063
593	3010	2057
594	3015	2052
595	3019	2047
596	3024	2041
597	3030	2037
598	3035	2031
599	3040	2026
600	3045	2021
601	3050	2016
602	3055	2011
603	3060	2006
604	3065	2001
605	3070	1996
606	3075	1991
607	3080	1985
608	3084	1980
609	3089	1975
610	3094	1969
611	3098	1964
612	3103	1959
613	3108	1954
614	3112	1948
615	3117	1943
616	3122	1938
617	3127	1933
618	3131	1927
619	3136	1922
620	3140	1916
621	3144	1911
622	3149	1905
623	3154	1900
624	3158	1895
625	3163	1889
626	3168	1884
627	3172	1879
628	3177	1874
629	3182	1869
630	3187	1863
631	3192	1859
632	3197	1853
633	3201	1848
634	3206	1842
635	3210	1837
636	3215	1832
637	3220	1827
638	3224	1821
639	3229	1816
640	3233	1811
641	3238	1806
642	3243	1800
643	3248	1795
644	3252	1790
645	3257	1784
646	3261	1779
647	3266	1774
648	3271	1769
649	3275	1763
650	3280	1758
651	3285	1753
652	3289	1748
653	3293	1742
654	3298	1737
