Date,Product,Cost_Price,Competitor_Price,Stock,Discount,Units_Sold,Selling_Price
2025-01-01,Phone,23486,22903,98,1,200,27090
2025-01-02,Monitor,41511,43759,160,15,163,43617
2025-01-03,Phone,26326,29023,151,1,164,26885
2025-01-04,Monitor,31823,34003,25,7,283,33784
2025-01-05,Laptop,47874,49611,155,12,156,52421
2025-01-06,Tablet,12000,11937,96,6,93,16302
2025-01-07,Tablet,30945,33838,63,3,337,33846
2025-01-08,Tablet,25795,24880,71,15,345,27582
2025-01-09,Phone,48947,48953,77,12,145,51133
2025-01-10,Monitor,38942,40966,141,1,343,43824
2025-01-11,Phone,33798,33117,69,6,445,34803
2025-01-12,Phone,46688,48153,196,15,284,49079
2025-01-13,Keyboard,37728,36974,176,12,456,40513
2025-01-14,Monitor,10994,12138,27,11,181,12182
2025-01-15,Monitor,18669,20998,76,14,474,20657
2025-01-16,Keyboard,8679,10113,45,2,309,10232
2025-01-17,Phone,24189,23285,170,10,459,27115
2025-01-18,Laptop,28564,30031,175,20,211,29563
2025-01-19,Monitor,12529,14753,149,7,256,16611
2025-01-20,Phone,37233,39231,104,6,117,41137
2025-01-21,Phone,33722,36718,109,7,174,36887
2025-01-22,Tablet,13518,16484,149,5,355,17127
2025-01-23,Phone,9611,10361,79,3,74,10255
2025-01-24,Phone,24745,24690,109,0,305,26220
2025-01-25,Phone,11287,12505,93,9,226,13899
2025-01-26,Laptop,3617,5053,133,15,100,7082
2025-01-27,Monitor,18518,18293,174,14,449,20996
2025-01-28,Phone,14751,15873,56,11,277,18493
2025-01-29,Keyboard,39944,40166,33,17,413,43203
2025-01-30,Phone,43076,43814,65,10,259,45667
2025-01-31,Keyboard,43306,45242,51,13,321,43933
2025-02-01,Laptop,30651,30675,126,20,231,34319
2025-02-02,Monitor,26784,29555,166,15,114,30410
2025-02-03,Keyboard,6706,7653,141,11,421,7991
2025-02-04,Phone,21415,23828,188,2,469,25230
2025-02-05,Tablet,3874,3401,94,2,128,7484
2025-02-06,Laptop,13706,15526,63,19,327,16089
2025-02-07,Phone,26400,26700,145,18,242,30544
2025-02-08,Laptop,24575,27493,127,10,200,29491
2025-02-09,Phone,27417,29685,61,14,146,30038
2025-02-10,Laptop,35135,36689,120,0,382,39833
2025-02-11,Tablet,11638,12069,135,4,141,14654
2025-02-12,Keyboard,10617,10286,183,2,419,14313
2025-02-13,Phone,46543,47589,175,4,168,48647
2025-02-14,Keyboard,24529,24846,67,18,413,25848
2025-02-15,Laptop,29374,30011,68,9,179,30182
2025-02-16,Laptop,44790,47046,169,5,256,47822
2025-02-17,Laptop,12376,11544,57,4,411,16356
2025-02-18,Tablet,31165,31409,81,15,454,33207
2025-02-19,Monitor,44818,45609,138,7,82,45591
2025-02-20,Keyboard,11072,13912,177,3,233,14998
2025-02-21,Laptop,3778,3783,75,11,260,8424
2025-02-22,Monitor,5923,7119,141,15,242,10729
2025-02-23,Keyboard,39767,39765,102,12,88,44287
2025-02-24,Keyboard,2353,3099,117,0,170,5915
2025-02-25,Keyboard,41157,42397,140,13,452,44371
2025-02-26,Laptop,25923,25407,109,1,66,27793
2025-02-27,Phone,31944,34056,114,16,309,36056
2025-02-28,Tablet,38949,39146,102,3,198,43880
2025-03-01,Keyboard,8785,10725,175,7,312,11122
2025-03-02,Monitor,2284,4163,69,0,112,6926
2025-03-03,Phone,15754,16807,46,14,252,18404
2025-03-04,Keyboard,21411,20665,127,1,135,24768
2025-03-05,Laptop,36114,37678,43,9,128,37200
2025-03-06,Keyboard,49984,52915,197,1,299,50985
2025-03-07,Tablet,18632,20225,20,12,129,20171
2025-03-08,Phone,16130,15732,159,5,438,18665
2025-03-09,Monitor,29759,29257,112,8,352,33095
2025-03-10,Keyboard,35606,36929,113,15,404,37453
2025-03-11,Monitor,36755,36319,90,1,291,40073
2025-03-12,Laptop,37291,38274,115,11,259,38998
2025-03-13,Phone,11490,13046,100,20,122,16097
2025-03-14,Laptop,16858,19291,89,19,290,17519
2025-03-15,Phone,41102,40589,178,8,324,45826
2025-03-16,Monitor,37413,38045,112,7,204,39562
2025-03-17,Keyboard,8555,10854,138,5,120,12378
2025-03-18,Laptop,17698,19349,32,10,469,19950
2025-03-19,Tablet,35923,36830,134,13,121,40443
2025-03-20,Monitor,39892,39435,156,11,205,41261
2025-03-21,Keyboard,8015,8440,79,2,66,11665
2025-03-22,Tablet,46602,47181,80,18,308,51503
2025-03-23,Monitor,25204,27853,63,18,205,25745
2025-03-24,Monitor,13710,15137,121,7,454,16734
2025-03-25,Keyboard,13749,15494,61,15,233,16313
2025-03-26,Tablet,19610,18925,156,18,308,20173
2025-03-27,Tablet,1057,1795,95,11,288,4232
2025-03-28,Keyboard,48984,50881,129,12,72,53772
2025-03-29,Laptop,27006,28934,20,13,78,31242
2025-03-30,Tablet,13421,15997,176,10,83,16969
2025-03-31,Keyboard,36484,38293,179,13,244,40330
2025-04-01,Laptop,45129,45301,72,17,338,46313
2025-04-02,Tablet,23134,22717,124,20,448,27614
2025-04-03,Tablet,35688,37698,35,9,134,37771
2025-04-04,Phone,32661,33504,173,0,435,33386
2025-04-05,Monitor,39743,42574,40,7,263,43029
2025-04-06,Tablet,3521,5528,39,7,463,5590
2025-04-07,Monitor,13212,14706,129,7,188,17302
2025-04-08,Keyboard,44756,45869,170,2,406,49508
2025-04-09,Monitor,43194,44053,66,10,52,46018
2025-04-10,Keyboard,9994,12435,111,0,176,12406
2025-04-11,Monitor,18431,19537,95,3,168,19411
2025-04-12,Phone,21717,21127,115,1,94,23349
2025-04-13,Laptop,29287,30185,132,1,356,31674
2025-04-14,Laptop,44968,44606,26,19,445,49421
2025-04-15,Keyboard,2921,4562,119,3,222,6942
2025-04-16,Laptop,39611,40907,136,14,388,40458
2025-04-17,Keyboard,27749,27774,96,17,417,31633
2025-04-18,Laptop,19549,21880,52,17,161,21797
2025-04-19,Laptop,36165,36649,89,9,250,39566
2025-04-20,Monitor,40287,41194,149,17,371,42630
2025-04-21,Monitor,6201,7688,60,5,325,7345
2025-04-22,Tablet,4980,6944,152,18,100,6266
2025-04-23,Keyboard,29402,29252,147,20,229,31395
2025-04-24,Laptop,17231,17156,104,2,294,21161
2025-04-25,Monitor,30774,31723,124,6,326,34126
2025-04-26,Keyboard,23860,25983,104,4,387,27653
2025-04-27,Laptop,24965,25243,84,12,234,29264
2025-04-28,Monitor,45119,44355,173,8,263,47958
2025-04-29,Keyboard,17599,18023,140,15,326,22476
2025-04-30,Tablet,4378,6371,80,20,420,5402
2025-05-01,Tablet,45495,45331,26,5,411,48507
2025-05-02,Tablet,6554,9250,142,4,361,10555
2025-05-03,Keyboard,9178,9758,179,1,301,13377
2025-05-04,Laptop,23270,26169,130,5,484,27318
2025-05-05,Monitor,40942,40826,75,9,336,45285
2025-05-06,Tablet,31917,33729,179,16,291,34805
2025-05-07,Laptop,24292,26975,29,15,409,28789
2025-05-08,Tablet,18119,18394,90,20,307,21454
2025-05-09,Phone,13970,13863,177,10,135,15563
2025-05-10,Monitor,35230,35341,97,13,99,38114
2025-05-11,Monitor,45303,44327,87,12,89,49366
2025-05-12,Laptop,1828,1932,84,11,474,4250
2025-05-13,Tablet,9056,9379,66,11,238,9726
2025-05-14,Monitor,30186,30267,152,5,390,32206
