order_item_id,freight_value,order_status,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,purchase_year,purchase_month,purchase_day,purchase_weekday,product_volume
1,12.97,2,55,60.0,702.0,2.0,600.0,26.0,8.0,17.0,2018,3,21,2,3536.0
3,21.2,2,41,56.0,348.0,2.0,1550.0,30.0,22.0,30.0,2017,9,2,5,19800.0
1,23.54,2,25,51.0,1834.0,1.0,1517.0,23.0,18.0,13.0,2018,6,18,0,5382.0
1,22.06,2,73,60.0,608.0,4.0,200.0,16.0,6.0,12.0,2018,5,20,6,1152.0
1,18.47,2,33,41.0,786.0,1.0,400.0,16.0,10.0,11.0,2018,5,9,2,1760.0
1,12.79,2,14,43.0,125.0,1.0,250.0,40.0,4.0,30.0,2018,7,29,6,4800.0
1,18.16,2,63,56.0,571.0,4.0,1700.0,20.0,24.0,30.0,2017,5,24,2,14400.0
1,11.85,2,49,39.0,690.0,1.0,300.0,26.0,4.0,36.0,2017,9,13,2,3744.0
1,18.4,2,73,28.0,308.0,2.0,1650.0,35.0,30.0,15.0,2018,7,8,6,15750.0
1,41.29,2,41,33.0,509.0,1.0,9100.0,42.0,13.0,39.0,2018,1,25,3,21294.0
1,16.53,2,64,54.0,1069.0,2.0,6700.0,50.0,20.0,40.0,2017,11,24,4,40000.0
1,12.69,2,14,29.0,200.0,1.0,600.0,40.0,5.0,30.0,2017,10,23,0,6000.0
1,40.16,2,27,40.0,1456.0,1.0,2425.0,29.0,30.0,19.0,2017,12,10,6,16530.0
1,15.52,2,45,45.0,236.0,1.0,173.0,18.0,13.0,12.0,2017,7,11,1,2808.0
1,19.72,2,12,51.0,1918.0,1.0,1650.0,25.0,30.0,20.0,2017,8,25,4,15000.0
1,22.8,2,46,51.0,504.0,6.0,8600.0,39.0,15.0,57.0,2018,5,30,2,33345.0
1,25.38,2,13,40.0,617.0,4.0,300.0,16.0,7.0,20.0,2017,6,19,0,2240.0
1,16.11,2,41,60.0,670.0,5.0,700.0,20.0,10.0,20.0,2017,5,22,0,4000.0
3,30.76,2,31,60.0,742.0,2.0,2200.0,22.0,7.0,17.0,2018,6,20,2,2618.0
1,28.28,2,12,31.0,867.0,2.0,600.0,20.0,5.0,15.0,2017,10,3,1,1500.0
1,7.39,2,12,59.0,895.0,1.0,200.0,20.0,15.0,15.0,2018,5,15,1,4500.0
2,6.68,2,21,39.0,1194.0,1.0,300.0,20.0,30.0,20.0,2017,10,31,1,12000.0
1,51.33,2,14,53.0,597.0,1.0,6550.0,30.0,30.0,30.0,2018,8,9,3,27000.0
1,19.37,2,27,29.0,234.0,1.0,50.0,23.0,15.0,15.0,2018,7,8,6,5175.0
1,69.23,2,63,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,2018,7,28,5,36000.0
1,11.85,2,67,55.0,167.0,3.0,200.0,16.0,2.0,11.0,2017,12,14,3,352.0
1,11.85,2,13,45.0,589.0,4.0,200.0,16.0,7.0,11.0,2017,8,17,3,1232.0
2,8.72,2,55,51.0,990.0,4.0,400.0,50.0,3.0,25.0,2018,2,8,3,3750.0
1,12.85,2,55,56.0,220.0,7.0,1000.0,31.0,11.0,26.0,2017,6,6,1,8866.0
1,33.96,2,73,56.0,397.0,4.0,7350.0,56.0,14.0,56.0,2018,3,26,0,43904.0
3,14.41,2,55,58.0,566.0,2.0,300.0,52.0,3.0,35.0,2017,3,1,2,5460.0
1,16.05,2,72,45.0,437.0,1.0,476.0,21.0,15.0,17.0,2017,3,29,2,5355.0
1,34.15,2,45,34.0,1078.0,2.0,250.0,41.0,2.0,29.0,2017,8,31,3,2378.0
1,15.11,2,33,35.0,650.0,1.0,400.0,95.0,6.0,47.0,2017,4,11,1,26790.0
1,8.79,2,63,49.0,1814.0,1.0,350.0,36.0,6.0,22.0,2017,7,10,0,4752.0
3,6.52,2,33,46.0,473.0,1.0,929.0,24.0,22.0,22.0,2017,11,2,3,11616.0
1,26.83,2,10,58.0,1447.0,5.0,15800.0,38.0,62.0,57.0,2018,2,28,2,134292.0
1,15.79,2,0,52.0,603.0,1.0,350.0,16.0,4.0,11.0,2018,1,16,1,704.0
1,14.23,2,12,60.0,1610.0,2.0,250.0,16.0,4.0,11.0,2018,2,3,5,704.0
1,46.72,2,46,55.0,541.0,3.0,2750.0,103.0,12.0,17.0,2018,7,15,6,21012.0
1,24.26,2,33,39.0,2055.0,1.0,300.0,20.0,10.0,15.0,2018,5,22,1,3000.0
1,22.27,2,14,58.0,162.0,4.0,2900.0,35.0,12.0,30.0,2017,7,12,2,12600.0
1,33.52,2,56,40.0,1189.0,1.0,18225.0,38.0,54.0,38.0,2017,3,1,2,77976.0
1,11.3,2,10,38.0,820.0,3.0,275.0,16.0,11.0,11.0,2017,4,27,3,1936.0
1,14.32,2,51,52.0,573.0,1.0,1450.0,49.0,10.0,33.0,2017,8,2,2,16170.0
1,12.13,2,14,54.0,245.0,1.0,1383.0,50.0,10.0,40.0,2017,7,13,3,20000.0
1,15.37,2,9,56.0,627.0,1.0,7200.0,61.0,8.0,61.0,2017,6,15,3,29768.0
1,113.65,2,9,28.0,2355.0,4.0,16100.0,61.0,61.0,18.0,2017,8,3,3,66978.0
1,8.03,2,12,60.0,919.0,1.0,150.0,22.0,3.0,15.0,2018,7,4,2,990.0
1,16.7,2,67,60.0,601.0,2.0,267.0,16.0,12.0,14.0,2018,7,20,4,2688.0
1,34.49,2,33,47.0,1249.0,1.0,400.0,27.0,6.0,25.0,2018,2,26,0,4050.0
1,15.11,2,73,55.0,801.0,3.0,483.0,30.0,14.0,25.0,2018,2,26,0,10500.0
1,14.1,2,31,41.0,386.0,1.0,200.0,25.0,7.0,16.0,2018,3,3,5,2800.0
1,17.78,2,27,49.0,933.0,1.0,250.0,22.0,23.0,16.0,2017,4,6,3,8096.0
2,9.77,2,67,58.0,3006.0,2.0,1000.0,53.0,8.0,18.0,2018,1,31,2,7632.0
1,18.88,2,12,53.0,3734.0,5.0,538.0,23.0,12.0,34.0,2017,9,2,5,9384.0
1,7.98,2,9,59.0,605.0,1.0,450.0,27.0,10.0,17.0,2018,5,2,2,4590.0
1,23.07,2,14,58.0,689.0,1.0,950.0,45.0,15.0,35.0,2018,3,6,1,23625.0
1,8.8,2,12,52.0,1649.0,1.0,250.0,22.0,5.0,15.0,2018,6,16,5,1650.0
1,31.32,2,33,57.0,752.0,1.0,1200.0,25.0,20.0,20.0,2017,3,13,0,10000.0
1,15.91,2,9,53.0,603.0,1.0,5950.0,65.0,11.0,65.0,2018,3,16,4,46475.0
1,16.4,2,67,33.0,932.0,1.0,396.0,18.0,11.0,14.0,2018,2,21,2,2772.0
1,34.15,2,31,54.0,614.0,1.0,100.0,17.0,6.0,11.0,2018,2,2,4,1122.0
2,9.68,2,41,52.0,175.0,1.0,700.0,16.0,10.0,12.0,2017,7,17,0,1920.0
1,15.46,2,27,50.0,1490.0,3.0,550.0,100.0,6.0,50.0,2017,10,23,0,30000.0
2,89.73,2,69,52.0,513.0,2.0,22550.0,85.0,85.0,26.0,2018,6,26,1,187850.0
1,22.05,2,13,37.0,1451.0,4.0,1330.0,38.0,23.0,18.0,2017,9,25,0,15732.0
1,12.21,2,71,60.0,818.0,5.0,300.0,17.0,4.0,12.0,2018,5,15,1,816.0
1,12.94,2,2,59.0,982.0,1.0,150.0,17.0,13.0,13.0,2018,5,16,2,2873.0
1,13.44,2,34,63.0,655.0,4.0,300.0,16.0,9.0,11.0,2017,11,3,4,1584.0
3,25.5,2,14,56.0,641.0,4.0,2150.0,50.0,10.0,40.0,2018,5,22,1,20000.0
1,0.0,2,67,33.0,523.0,3.0,584.0,16.0,11.0,13.0,2018,5,8,1,2288.0
1,25.46,2,12,50.0,1257.0,1.0,350.0,19.0,12.0,13.0,2018,1,24,2,2964.0
1,8.72,2,33,56.0,1760.0,1.0,200.0,16.0,15.0,15.0,2017,2,11,5,3600.0
1,18.29,2,12,25.0,740.0,1.0,1450.0,25.0,29.0,15.0,2018,6,17,6,10875.0
1,17.94,2,14,55.0,312.0,1.0,1550.0,44.0,14.0,34.0,2017,11,25,5,20944.0
1,13.87,2,12,39.0,1749.0,1.0,1350.0,27.0,9.0,18.0,2017,10,6,4,4374.0
1,41.67,2,33,58.0,1274.0,2.0,4800.0,58.0,10.0,50.0,2018,7,20,4,29000.0
1,40.55,2,12,51.0,625.0,1.0,900.0,25.0,12.0,38.0,2018,4,4,2,11400.0
1,11.74,2,55,47.0,709.0,2.0,1500.0,30.0,25.0,25.0,2017,1,24,1,18750.0
1,12.69,2,29,56.0,953.0,3.0,500.0,30.0,12.0,17.0,2017,6,20,1,6120.0
1,11.92,2,33,41.0,737.0,1.0,350.0,20.0,20.0,20.0,2017,9,19,1,8000.0
1,22.34,2,73,60.0,1285.0,3.0,2650.0,26.0,20.0,20.0,2018,7,19,3,10400.0
1,26.88,2,7,38.0,1324.0,1.0,4500.0,50.0,8.0,45.0,2018,3,4,6,18000.0
1,21.2,2,14,58.0,298.0,1.0,2600.0,33.0,7.0,39.0,2017,2,13,0,9009.0
1,21.85,2,33,60.0,403.0,3.0,700.0,30.0,20.0,20.0,2017,4,16,6,12000.0
1,12.48,2,73,63.0,261.0,2.0,250.0,20.0,9.0,12.0,2017,12,2,5,2160.0
1,16.97,2,73,46.0,1481.0,1.0,600.0,30.0,15.0,20.0,2017,6,15,3,9000.0
1,28.02,2,0,52.0,603.0,1.0,1150.0,40.0,11.0,15.0,2018,4,22,6,6600.0
1,9.26,2,10,55.0,1631.0,1.0,600.0,20.0,13.0,20.0,2018,4,1,6,5200.0
1,13.08,2,55,44.0,903.0,6.0,2600.0,50.0,10.0,30.0,2018,1,12,4,15000.0
1,27.44,2,12,49.0,1495.0,3.0,600.0,33.0,19.0,13.0,2017,11,25,5,8151.0
1,12.83,2,14,58.0,689.0,1.0,950.0,45.0,15.0,35.0,2017,5,28,6,23625.0
1,21.68,2,14,50.0,453.0,1.0,15300.0,40.0,25.0,37.0,2017,5,28,6,37000.0
1,15.43,2,67,46.0,232.0,1.0,184.0,18.0,10.0,13.0,2017,8,10,3,2340.0
1,14.52,2,55,59.0,473.0,1.0,700.0,30.0,3.0,20.0,2017,3,25,5,1800.0
1,16.98,2,32,60.0,2438.0,3.0,2050.0,29.0,22.0,24.0,2017,6,10,5,15312.0
1,15.1,2,71,59.0,734.0,4.0,250.0,17.0,4.0,12.0,2018,1,21,6,816.0
1,15.23,2,55,44.0,208.0,3.0,100.0,16.0,5.0,11.0,2018,5,11,4,880.0
1,13.44,2,9,58.0,651.0,5.0,16700.0,78.0,4.0,47.0,2017,8,1,1,14664.0
1,12.05,2,60,59.0,316.0,2.0,5900.0,38.0,35.0,28.0,2017,12,31,6,37240.0
1,17.92,2,45,59.0,678.0,2.0,483.0,22.0,15.0,12.0,2017,12,4,0,3960.0
1,14.9,2,14,55.0,312.0,1.0,1550.0,44.0,14.0,34.0,2018,7,31,1,20944.0
1,26.89,2,73,52.0,621.0,1.0,1300.0,30.0,30.0,30.0,2017,5,8,0,27000.0
4,15.1,2,41,40.0,207.0,4.0,150.0,16.0,2.0,11.0,2017,12,2,5,352.0
1,14.52,2,71,57.0,688.0,1.0,300.0,30.0,5.0,12.0,2017,3,8,2,1800.0
1,15.6,2,12,43.0,1565.0,1.0,1050.0,22.0,15.0,17.0,2017,7,16,6,5610.0
1,15.1,2,12,55.0,388.0,1.0,200.0,16.0,5.0,15.0,2018,2,5,0,1200.0
1,12.79,2,33,53.0,425.0,1.0,150.0,16.0,6.0,11.0,2018,5,4,4,1056.0
1,22.06,2,71,22.0,45.0,1.0,125.0,17.0,17.0,17.0,2018,4,7,5,4913.0
4,17.02,2,41,57.0,339.0,2.0,1800.0,37.0,22.0,40.0,2018,8,5,6,32560.0
1,13.1,2,67,59.0,582.0,1.0,263.0,17.0,12.0,13.0,2017,8,22,1,2652.0
1,19.35,2,14,50.0,704.0,2.0,2908.0,67.0,15.0,48.0,2018,6,4,0,48240.0
1,14.62,2,52,51.0,144.0,2.0,125.0,10.0,9.0,11.0,2017,3,8,2,990.0
2,15.93,2,12,23.0,274.0,1.0,390.0,19.0,12.0,17.0,2018,7,25,2,3876.0
1,19.32,2,67,43.0,548.0,3.0,381.0,18.0,12.0,15.0,2018,7,12,3,3240.0
1,14.52,2,71,53.0,264.0,2.0,200.0,19.0,4.0,11.0,2017,3,24,4,836.0
1,32.35,1,60,57.0,301.0,3.0,9850.0,30.0,19.0,60.0,2018,2,15,3,34200.0
2,83.66,2,56,33.0,1205.0,1.0,11700.0,36.0,54.0,35.0,2018,4,24,1,68040.0
1,24.55,2,12,43.0,1234.0,5.0,650.0,20.0,20.0,20.0,2018,6,25,0,8000.0
1,16.19,2,64,38.0,1540.0,1.0,200.0,20.0,16.0,16.0,2017,5,4,3,5120.0
3,12.13,2,45,29.0,1140.0,4.0,300.0,16.0,16.0,16.0,2017,7,19,2,4096.0
2,9.31,2,12,46.0,925.0,1.0,750.0,27.0,10.0,17.0,2018,1,16,1,4590.0
1,8.88,2,29,38.0,928.0,2.0,1200.0,28.0,8.0,13.0,2018,4,26,3,2912.0
1,7.41,2,67,59.0,319.0,4.0,250.0,16.0,2.0,20.0,2018,6,1,4,640.0
1,8.08,2,63,29.0,178.0,1.0,400.0,19.0,13.0,19.0,2017,12,18,0,4693.0
1,8.88,2,17,57.0,556.0,4.0,800.0,36.0,36.0,20.0,2018,5,1,1,25920.0
1,34.78,2,34,56.0,560.0,3.0,300.0,22.0,14.0,22.0,2017,10,15,6,6776.0
1,15.1,2,64,49.0,895.0,1.0,300.0,20.0,25.0,20.0,2018,1,4,3,10000.0
1,9.91,2,27,54.0,850.0,1.0,125.0,16.0,12.0,12.0,2018,4,28,5,2304.0
1,14.1,2,45,52.0,239.0,1.0,150.0,16.0,3.0,13.0,2018,1,22,0,624.0
1,20.72,2,63,31.0,329.0,1.0,471.0,18.0,12.0,15.0,2017,6,15,3,3240.0
1,12.91,2,10,28.0,855.0,2.0,1000.0,30.0,10.0,25.0,2017,12,4,0,7500.0
1,15.1,2,9,59.0,956.0,1.0,50.0,16.0,16.0,17.0,2017,8,10,3,4352.0
1,12.43,2,55,44.0,903.0,6.0,2600.0,50.0,10.0,30.0,2018,3,27,1,15000.0
1,18.27,2,41,43.0,84.0,2.0,300.0,16.0,6.0,11.0,2018,8,11,5,1056.0
2,20.25,2,33,56.0,1007.0,2.0,4550.0,20.0,20.0,20.0,2018,3,23,4,8000.0
1,15.01,2,45,59.0,765.0,3.0,300.0,16.0,10.0,11.0,2016,10,8,5,1760.0
1,34.27,2,56,46.0,1350.0,1.0,11875.0,57.0,55.0,22.0,2018,7,22,6,68970.0
2,33.76,2,33,52.0,1197.0,1.0,2500.0,20.0,11.0,11.0,2018,1,21,6,2420.0
1,10.96,2,71,47.0,137.0,2.0,100.0,16.0,4.0,11.0,2017,2,18,5,704.0
1,7.39,2,45,51.0,872.0,6.0,145.0,16.0,9.0,13.0,2018,8,23,3,1872.0
1,18.78,2,14,54.0,503.0,1.0,2400.0,30.0,30.0,30.0,2018,8,10,4,27000.0
1,12.48,2,45,53.0,144.0,2.0,200.0,25.0,5.0,15.0,2017,6,4,6,1875.0
1,17.92,2,73,57.0,182.0,1.0,400.0,23.0,22.0,15.0,2017,7,22,5,7590.0
1,65.12,2,55,59.0,455.0,1.0,7850.0,52.0,18.0,35.0,2018,7,1,6,32760.0
1,7.78,2,67,57.0,160.0,3.0,250.0,16.0,2.0,11.0,2017,12,4,0,352.0
1,19.85,2,14,56.0,581.0,2.0,4850.0,43.0,15.0,33.0,2017,11,13,0,21285.0
2,40.36,2,15,60.0,216.0,3.0,1300.0,30.0,20.0,30.0,2017,9,28,3,18000.0
1,14.16,2,14,47.0,162.0,4.0,3000.0,35.0,12.0,30.0,2018,4,16,0,12600.0
1,7.78,2,9,55.0,520.0,1.0,550.0,20.0,15.0,15.0,2017,10,2,0,4500.0
4,17.92,2,49,63.0,1246.0,1.0,700.0,23.0,2.0,16.0,2017,10,1,6,736.0
1,14.86,2,14,60.0,314.0,2.0,1250.0,30.0,10.0,30.0,2018,5,18,4,9000.0
2,95.87,4,56,50.0,344.0,1.0,15000.0,50.0,90.0,50.0,2017,3,8,2,225000.0
1,12.48,2,41,59.0,341.0,2.0,1750.0,37.0,22.0,40.0,2017,10,8,6,32560.0
1,13.02,2,14,58.0,850.0,1.0,1000.0,40.0,10.0,30.0,2018,7,31,1,12000.0
1,12.69,2,55,63.0,517.0,2.0,800.0,80.0,10.0,60.0,2017,8,14,0,48000.0
1,15.44,2,21,19.0,642.0,1.0,150.0,18.0,20.0,11.0,2018,5,6,6,3960.0
1,15.77,2,33,63.0,1332.0,8.0,900.0,25.0,40.0,15.0,2017,6,11,6,15000.0
1,27.38,2,33,63.0,923.0,3.0,1200.0,70.0,8.0,15.0,2016,10,4,1,8400.0
1,22.06,2,14,52.0,642.0,1.0,550.0,16.0,10.0,16.0,2018,5,5,5,2560.0
1,25.8,2,41,59.0,830.0,2.0,650.0,22.0,15.0,22.0,2018,5,16,2,7260.0
1,19.22,2,49,31.0,1457.0,1.0,1350.0,26.0,15.0,22.0,2017,6,20,1,8580.0
1,53.68,2,12,46.0,400.0,1.0,10067.0,73.0,30.0,27.0,2018,8,2,3,59130.0
1,19.87,2,14,44.0,641.0,2.0,1950.0,50.0,10.0,40.0,2018,1,18,3,20000.0
2,14.25,2,41,59.0,398.0,6.0,4200.0,50.0,28.0,28.0,2017,3,13,0,39200.0
1,16.79,2,21,45.0,181.0,1.0,500.0,30.0,7.0,25.0,2017,5,27,5,5250.0
1,22.17,2,55,45.0,264.0,1.0,6450.0,35.0,30.0,35.0,2018,7,24,1,36750.0
1,38.6,2,27,51.0,880.0,1.0,2100.0,41.0,32.0,15.0,2018,2,27,1,19680.0
1,17.99,2,14,54.0,120.0,1.0,835.0,40.0,9.0,33.0,2017,7,12,2,11880.0
1,9.35,2,60,44.0,169.0,2.0,900.0,37.0,6.0,29.0,2018,3,3,5,6438.0
1,12.94,2,2,59.0,982.0,1.0,150.0,17.0,13.0,13.0,2018,5,14,0,2873.0
2,17.85,2,32,28.0,1426.0,1.0,1833.0,21.0,19.0,22.0,2018,5,24,3,8778.0
1,17.87,2,14,51.0,2253.0,2.0,6450.0,60.0,14.0,38.0,2017,12,20,2,31920.0
1,67.05,2,56,60.0,2083.0,1.0,20500.0,58.0,28.0,58.0,2017,9,6,2,94192.0
1,23.85,2,45,59.0,1893.0,1.0,6550.0,20.0,20.0,20.0,2017,11,17,4,8000.0
1,13.45,2,71,44.0,965.0,3.0,150.0,20.0,7.0,14.0,2017,12,2,5,1960.0
1,21.08,2,67,56.0,816.0,1.0,600.0,16.0,11.0,11.0,2017,11,23,3,1936.0
1,7.89,2,41,56.0,318.0,2.0,1900.0,69.0,5.0,22.0,2018,4,7,5,7590.0
1,11.86,2,29,60.0,564.0,1.0,1500.0,65.0,8.0,38.0,2018,4,15,6,19760.0
1,78.77,2,27,29.0,266.0,3.0,5650.0,73.0,73.0,20.0,2017,10,21,5,106580.0
1,34.15,2,55,46.0,1195.0,3.0,850.0,40.0,36.0,28.0,2017,5,7,6,40320.0
1,26.56,2,55,52.0,709.0,2.0,7550.0,35.0,35.0,35.0,2018,3,15,3,42875.0
1,20.21,2,67,39.0,515.0,3.0,886.0,19.0,15.0,17.0,2018,6,26,1,4845.0
1,10.96,2,71,47.0,387.0,2.0,150.0,19.0,8.0,11.0,2017,2,14,1,1672.0
1,18.36,2,33,47.0,527.0,1.0,1150.0,26.0,25.0,23.0,2017,6,6,1,14950.0
1,13.07,2,12,59.0,492.0,2.0,200.0,22.0,10.0,18.0,2018,8,5,6,3960.0
1,15.1,2,12,51.0,951.0,1.0,178.0,18.0,11.0,17.0,2017,5,19,4,3366.0
1,9.15,2,11,45.0,887.0,1.0,250.0,18.0,18.0,18.0,2018,8,10,4,5832.0
1,11.85,2,55,56.0,1180.0,3.0,400.0,50.0,3.0,25.0,2017,11,29,2,3750.0
1,16.92,2,33,63.0,1026.0,3.0,600.0,38.0,12.0,25.0,2017,6,13,1,11400.0
