Feature,MI_Score,RF_Importance,RFE_Ranking,RFE_Selected,MI_Normalized,RF_Normalized,RFE_Score,Combined_Score
seller_mean_price,0.6205680438506045,0.6739875068783354,1,True,0.9999999838857319,0.9999999851629299,1,0.9999999896828872
seller_mean_freight,0.383918030895555,0.011260459444310209,1,True,0.6186558081959845,0.01670722255578939,1,0.5451210102505913
total_weight_g,0.3426766536562038,0.03397619657382022,1,True,0.5521983471915873,0.050410720856056176,1,0.5342030226825478
product_weight_g,0.33515877280563355,0.01749916279252477,1,True,0.5400838324273773,0.025963630414958597,1,0.5220158209474454
total_volume_cm3,0.32309168910859043,0.013169026557670131,1,True,0.5206386102278663,0.019538976951181918,1,0.5133925290596827
seller_lng,0.29566278707283544,0.010100989373486928,1,True,0.47643894209226123,0.014986908689749967,1,0.4971419502606704
product_volume_cm3,0.2940668454312281,0.007624899248217115,1,True,0.473867198942248,0.01131311642615114,1,0.4950601051227997
seller_lat,0.2896847462827381,0.005148842883718766,1,True,0.4668057668860872,0.007639374253645423,1,0.4914817137132442
product_description_lenght,0.24748505344227478,0.01403499918216078,1,True,0.3988040504286969,0.02082382660018064,1,0.47320929234295916
payment_installments,0.20103097706313644,0.030201088167037406,1,True,0.3239467062729797,0.04480956606869789,1,0.45625209078055917
product_height_cm,0.21290710737019314,0.012467955430648336,1,True,0.34308422106022296,0.01849879280909439,1,0.45386100462310575
num_items_ordered,0.04156927594366677,0.028049836473047488,1,True,0.06698584576781026,0.04161773886104613,1,0.3695345282096188
spatial_dist,0.05461138149841549,0.0060597082506644966,1,True,0.0880022443300999,0.008990831579093419,1,0.36566435863639773
customer_lng,0.011997008356281036,0.004369814502196871,1,True,0.019332300916619846,0.0064835243869741975,1,0.34193860843453133
customer_lat,0.00854680509475969,0.005438273622956272,1,True,0.013772550877743454,0.008068804668882257,1,0.3406137851822086
seller_sales_count,0.33925380228744384,0.00564892313805286,7,False,0.5466826727260371,0.008381346830007495,0,0.18502133985201485
seller_zip_code_prefix,0.3079399180664941,0.005788561940500976,5,False,0.4962226401371082,0.008588529899354049,0,0.16827039001215408
product_popularity,0.24625639985300207,0.004597747315143155,6,False,0.3968241650935609,0.006821709898186608,0,0.13454862499724915
cat_mean_price,0.19433347820153024,0.004638343138314944,21,False,0.31315417704101484,0.0068819422053958195,0,0.10667870641547023
cat_mean_freight,0.18814725474175464,0.006203635533331221,12,False,0.303185530699344,0.009204377496580648,0,0.10412996939864155
category_freq_encoded,0.19033056434862994,0.003285361612300849,23,False,0.30670377433648893,0.004874514037763558,0,0.10385942945808417
product_length_cm,0.17328914686314256,0.014497923194845986,24,False,0.2792427773036157,0.021510670200532916,0,0.10025114916804954
product_width_cm,0.17719608054706226,0.005179736375816274,15,False,0.2855385149905258,0.007685211144275972,0,0.09774124204493391
product_density_g_cm3,0.16183028993229298,0.009191433197830907,17,False,0.26077766802229235,0.013637393820589252,0,0.09147168728096054
product_name_lenght,0.08697768696827968,0.00497013774484219,29,False,0.1401581767359534,0.00737422818728462,0,0.049177468307746004
customer_state_encoded,0.06308988330087706,0.00633130474697167,13,False,0.10166472945135734,0.009393801203167629,0,0.03701951021817499
state_mean_freight,0.0654669560968757,0.0010995179918271854,8,False,0.10549520828643268,0.0016313625464752701,0,0.03570885694430265
state_mean_price,0.0619969815360748,0.002733885538197504,10,False,0.09990359824580972,0.0040562851235878454,0,0.03465329445646585
product_photos_qty,0.057601246367469106,0.005943713986293403,11,False,0.09282019274123966,0.008818730076519102,0,0.03387964093925292
order_purchase_year,0.05504676330573144,0.0006008878544213595,26,False,0.08870383024741295,0.0008915415187575774,0,0.02986512392205684
order_purchase_month,0.04728008171570863,0.004802027947891268,3,False,0.07618839130106242,0.007124802503958101,0,0.027771064601673504
order_purchase_quarter,0.04176597379472291,0.0006183129052568778,4,False,0.06730280995866031,0.0009173951887427794,0,0.022740068382467695
order_purchase_hour,0.016511108861740453,0.008444117146267057,22,False,0.026606443498484268,0.012528595760018123,0,0.013045013086167463
order_purchase_week,0.014503244271488747,0.0029833113886991638,2,False,0.023370916664975885,0.004426360005177507,0,0.00926575889005113
order_purchase_day,0.0036632962984954887,0.012109734027528376,28,False,0.005903133871885371,0.017967297203984208,0,0.007956810358623194
avg_review_score,0.008716651924995045,0.004461395985193949,25,False,0.014046246613741238,0.006619404474815066,0,0.006888550362852102
pay_credit_card,0.00926470155464787,0.001656937790208604,20,False,0.014929388480700382,0.002458410205997488,0,0.0057959328955659575
customer_zip_code_prefix,0.0026933353559233097,0.005506541826713574,14,False,0.004340112803440738,0.008170094681008142,0,0.00417006916148296
number_of_orders,0.006613897958792858,0.0002530678064237915,16,False,0.010657812495751009,0.0003754784771028243,0,0.0036777636576179446
pay_debit_card,0.005230164599713483,0.0009704228786507554,9,False,0.00842802746171106,0.0014398232227584875,0,0.0032892835614898486
order_purchase_weekday,0.0,0.003770292016602343,27,False,0.0,0.005594008675509246,0,0.001864669558503082
pay_unknown,0.0018123553298418082,0.0,30,False,0.002920477969492955,0.0,0,0.0009734926564976517
payment_sequential,0.0,0.00024943701471536405,18,False,0.0,0.0003700914460117383,0,0.0001233638153372461
pay_voucher,0.0,7.452857636320073e-05,19,False,0.0,0.00011057857081447136,0,3.6859523604823786e-05
