Model_Name,MAE,RMSE,R2
Lasso Regression,1228.0048462409718,1421.8221831731091,0.989279494886269
Linear Regression,1228.3851880792208,1422.1106065100307,0.989275145035053
Ridge Regression,1223.1637963841752,1424.530002709308,0.9892386222143394
Gradient Boosting Regressor,1246.9782510289888,1510.1464911933538,0.9879061985978261
Random Forest Regressor,1231.8637465753427,1517.321240381828,0.9877910096202537
Extra Trees Regressor,1227.0492091797096,1536.518019867274,0.9874801250075999
XGBoost Regressor,1301.6273193359375,1570.1227659008068,0.9869264960289001
LightGBM Regressor,1337.8929242314691,1645.9924637416027,0.985632527926827
CatBoost Regressor,1382.515019854828,1731.6408619742763,0.9840984182015253
Decision Tree Regressor,1534.4839421613392,1919.9667917248764,0.9804515597616539
